Year,agegrp,Deliveries.corr,U20ab,Abortions.corr,Total,Population,Value
1985,Under 18,3354.9757808762406,2933.620062017354,1530.246026830242,4885.221807706483,127158.5,38.41836611556823
1986,Under 18,3340.802797445364,2931.554859580172,1522.0352488025983,4862.838046247962,123873,39.256642256568924
1987,Under 18,3230.8821274750626,2784.9254865402336,1431.302793688661,4662.184921163724,120179.5,38.79351238076148
1988,Under 18,3064.7835476905034,2903.674626678212,1492.056560083136,4556.84010777364,115088.5,39.594226250004475
1989,Under 18,2938.2149445035343,2915.033240082714,1491.5085092135068,4429.723453717041,108231.5,40.928227491229826
1990,Under 18,2880.581199553821,2869.598786464705,1458.541228059974,4339.122427613795,101416,42.785383249327474
1991,Under 18,2793.47176849449,2943.946074203265,1493.9490507779446,4287.4208192724345,96543.5,44.409212627182924
1992,Under 18,2648.5655517008436,2709.5455975830823,1353.1141488616122,4001.6797005624558,92632.5,43.19952177219071
1993,Under 18,2362.253016682619,2669.274150058029,1323.094070461164,3685.347087143783,89280,41.27852920187929
1994,Under 18,2299.2617126720647,2689.9261744298515,1327.8509845470817,3627.1126972191464,87933.5,41.24836037709345
1995,Under 18,2487.639490244138,2561.8836233245534,1247.7284593442382,3735.367949588376,89739,41.624800249483236
1996,Under 18,2693.4623526045148,2772.5342719171404,1360.9424347435724,4054.404787348087,93204.5,43.500096962572485
1997,Under 18,2729.4736496642786,2808.6753145678294,1374.540957088735,4104.014606753013,95110.5,43.14996353455205
1998,Under 18,2682.4170822256197,3090.5754472432036,1528.4263304806009,4210.843412706221,94543,44.53892316412871
1999,Under 18,2497.1556971960426,2980.0871168539543,1458.324294638238,3955.4799918342806,92753.5,42.64507529995397
2000,Under 18,2372.622547646195,2978.0219144167722,1450.1135166105923,3822.7360642567874,92346.5,41.395570641624616
2001,Under 18,2282.4530942235565,3095.738453336159,1510.2778424544522,3792.7309366780087,93652.5,40.49791448896728
2002,Under 18,2265.6992718784763,3021.391165597599,1460.8062258836617,3726.505497762138,94892,39.27101860812437
2003,Under 18,2225.626196120539,3204.161581288226,1558.1053064163534,3783.7315025368925,95162,39.760949775508
2004,Under 18,2194.8859761614835,3322.910721426204,1618.8590728108284,3813.745048972312,94522,40.34769735058835
2005,Under 18,2198.382608689713,3431.333849378271,1673.7184336991377,3872.1010423888506,93918,41.22852959378235
2006,Under 18,2205.965341456774,3576.930621199618,1749.79765440964,3955.762995866414,93816,42.165121044026755
2007,Under 18,2216.905830187335,3689.4841540260495,1807.0147775004152,4023.9206076877504,94892.5,42.40504368298601
2008,Under 18,2112.4039306955083,3612.0390626317158,1755.7748392777776,3868.178769973286,95983,40.3006654300583
2009,Under 18,1953.5173049089926,3338.3997397050707,1592.5411964380219,3546.0585013470145,96271,36.83412971036984
2010,Under 18,1735.4941876013618,3195.900771539497,1504.1665035265487,3239.6606911279105,94525.5,34.27287547939879
2011,Under 18,1557.427983377672,2819.0013267537406,1281.9888056251566,2839.4167890028284,91692.5,30.96672889279743
2012,Under 18,1400.9199938399029,2598.024665975242,1148.816630866837,2549.73662470674,90269,28.245982836928956
2013,Under 18,1227.0206122571917,2373.9502015409707,1013.8761344566701,2240.896746713862,89291,25.09655784697071
2014,Under 18,1068.7720381406866,2075.528449368139,836.4959184021227,1905.2679565428093,88306,21.575747475175064
2015,Under 18,948.3783687686441,2011.5071738154895,792.9187073374942,1741.2970761061383,86548,20.11943749256064
